VAR,STATION,LAT,LON,ENSEMBLE,RCP,MODEL,CLIMATOLOGY,Annual,DJF,MAM,JJA,SON,NDJFMA,MJJASO,January,February,March,April,May,June,July,August,September,October,November,December
0,GAYNDAH-AIRPORT,-25.62,151.62,r1i1p1,rcp26,CESM1-CAM5,2020-2039,29.35,33.48,29.52,24.18,30.24,32.39,26.32,34.07,33.27,32.34,29.76,26.45,23.77,23.53,25.24,28.21,30.7,31.82,33.04
0,GEORGETOWN-AIRPORT,-18.3,143.53,r1i1p1,rcp26,CESM1-CAM5,2020-2039,33.62,35.33,33.16,29.88,36.14,35.26,32,35.07,34.24,34.32,33.73,31.43,28.96,29.61,31.08,34.09,36.82,37.53,36.6
0,GERALDTON-AIRPORT-COMPARISON,-28.8,114.7,r1i1p1,rcp26,CESM1-CAM5,2020-2039,26.75,31.88,28.68,21,25.39,30.81,22.66,31.84,33.83,31.77,29.14,25.13,22.45,20.23,20.31,22.78,25.05,28.33,30.18
0,GILES-METEOROLOGICAL-OFFICE,-25.03,128.3,r1i1p1,rcp26,CESM1-CAM5,2020-2039,30.46,37.11,29.76,22.43,32.53,35.29,25.63,37.94,36.97,34.8,29.82,24.66,21.49,21.66,24.15,28.88,32.95,35.77,36.39
0,GROVE-RESEARCH-STATION,-42.99,147.07,r1i1p1,rcp26,CESM1-CAM5,2020-2039,18.24,22.66,18.87,13.75,17.64,21.33,15.13,23.5,23.57,21.55,18.98,16.06,13.5,13.35,14.39,15.83,17.67,19.43,21.09
0,GUNNEDAH-RESOURCE-CENTRE,-31.03,150.27,r1i1p1,rcp26,CESM1-CAM5,2020-2039,25.66,32.32,26.07,18.35,25.91,30.43,20.89,33.2,32.27,29.96,26.48,21.76,18.08,17.68,19.3,22.41,26.12,29.21,31.48
0,HALLS-CREEK-AIRPORT,-18.23,127.66,r1i1p1,rcp26,CESM1-CAM5,2020-2039,35.15,37.86,34.65,29.79,38.27,37.77,32.53,37.98,36.76,37.17,35.47,31.3,28.34,29.39,31.63,35.92,38.6,40.31,38.94
0,HOBART-ELLERSLIE-ROAD,-42.89,147.33,r1i1p1,rcp26,CESM1-CAM5,2020-2039,18.54,22.62,19.25,14.09,18.14,21.44,15.62,23.34,23.35,21.55,19.54,16.66,13.73,13.68,14.86,16.51,18.27,19.64,21.3
0,HORN-ISLAND,-10.58,142.29,r1i1p1,rcp26,CESM1-CAM5,2020-2039,30.98,31.82,31.05,29.5,31.61,31.85,30.16,31.83,31.19,31.42,31.31,30.45,29.62,29.27,29.6,30.42,31.64,32.77,32.48
0,INVERELL-RAGLAN-ST,-29.78,151.11,r1i1p1,rcp26,CESM1-CAM5,2020-2039,24.64,30.33,25.31,18.3,24.64,28.79,20.5,31.2,30.21,28.78,25.57,21.58,18.1,17.67,19.12,21.69,24.84,27.38,29.53
0,JERVIS-BAY-POINT-PERPENDICULAR-AWS,-35.09,150.8,r1i1p1,rcp26,CESM1-CAM5,2020-2039,21.06,24.61,21.9,17.26,20.55,23.59,18.54,25.09,25.14,23.78,22.36,19.56,17.43,16.78,17.56,19.01,20.87,21.77,23.58
0,KALGOORLIE-BOULDER-AIRPORT,-30.78,121.45,r1i1p1,rcp26,CESM1-CAM5,2020-2039,26.44,33.6,26.34,18.85,26.96,31.35,21.52,34.86,32.8,30.27,26.81,21.93,18.98,18.12,19.46,23.6,27.05,30.24,33.2
0,KALUMBURU,-14.3,126.65,r1i1p1,rcp26,CESM1-CAM5,2020-2039,35.15,35,35.08,33.13,37.29,35.59,34.69,35.2,33.88,34.93,35.74,34.57,32.54,32.88,34.04,36.34,37.62,37.9,35.96
0,KATANNING-COMPARISON,-33.69,117.56,r1i1p1,rcp26,CESM1-CAM5,2020-2039,23.21,30.37,24.01,16.28,22.11,28.23,18.14,31.11,30.88,27.6,24.45,19.99,17.35,15.59,15.89,18.41,21.64,26.29,29.34
0,KERANG,-35.72,143.92,r1i1p1,rcp26,CESM1-CAM5,2020-2039,23.98,31.98,24.22,16.22,23.49,29.36,18.59,32.87,32.32,28.29,24.77,19.6,15.84,15.67,17.15,19.7,23.6,27.16,30.78
0,KYANCUTTA,-33.13,135.56,r1i1p1,rcp26,CESM1-CAM5,2020-2039,26.17,33.1,26.48,19.09,26,30.95,21.38,34.12,33.54,30.1,26.93,22.42,18.96,18.76,19.54,22.56,26.03,29.41,31.62
0,LARAPUNA-EDDYSTONE-POINT,-40.99,148.35,r1i1p1,rcp26,CESM1-CAM5,2020-2039,18.4,21.78,19.64,14.9,17.34,20.89,15.89,22.3,22.51,21.6,19.67,17.45,15.04,14.69,14.97,15.9,17.41,18.72,20.63
0,LAUNCESTON-AIRPORT,-41.55,147.21,r1i1p1,rcp26,CESM1-CAM5,2020-2039,18.63,24.12,19.48,13.04,17.8,22.56,14.66,24.89,25.14,23.13,19.47,15.82,12.95,12.64,13.54,15.17,17.83,20.38,22.52
0,LAVERTON-RAAF,-37.86,144.76,r1i1p1,rcp26,CESM1-CAM5,2020-2039,20.82,26.13,21.45,15.63,20.05,24.45,17.19,26.91,26.92,24.15,21.85,18.36,15.61,15.25,16.03,17.64,20.28,22.23,24.61
0,LEARMONTH-AIRPORT,-22.24,114.1,r1i1p1,rcp26,CESM1-CAM5,2020-2039,32.53,37.87,33.56,25.99,32.67,36.67,28.39,38.63,38,37.1,34.19,29.38,26.31,25.09,26.57,29.79,33.18,35.04,37.12
0,LONGREACH-AERO,-23.44,144.28,r1i1p1,rcp26,CESM1-CAM5,2020-2039,32.97,38.18,33.07,26.12,34.54,36.8,29.16,38.65,38.07,36.99,32.34,29.86,24.17,26.14,28.03,30.96,35.81,36.84,37.74
0,LOW-HEAD,-41.06,146.79,r1i1p1,rcp26,CESM1-CAM5,2020-2039,17.16,20.58,18.55,13.65,15.83,19.73,14.58,21.1,21.71,20.5,18.79,16.37,14.06,13.37,13.52,14.21,15.93,17.34,19.07
0,MACKAY-M.O,-21.12,149.22,r1i1p1,rcp26,CESM1-CAM5,2020-2039,27.46,30.86,27.61,22.99,28.38,30.03,24.88,30.98,30.75,29.85,27.72,25.27,22.78,22.51,23.68,26.32,28.73,30.1,30.84
0,MARBLE-BAR,-21.18,119.75,r1i1p1,rcp26,CESM1-CAM5,2020-2039,36.27,41.2,35.85,29.41,38.66,40.22,32.27,42.03,39.44,38.97,37,31.56,29.04,28.67,30.52,34.93,39.09,41.69,42.3
0,MARREE,-29.65,138.06,r1i1p1,rcp26,CESM1-CAM5,2020-2039,29.87,37.83,29.62,21.58,30.48,35.37,24.37,38.62,38.17,34.48,30.13,24.24,20.91,21.01,22.82,27.04,30.2,34.19,36.64
0,MEEKATHARRA-AIRPORT,-26.61,118.54,r1i1p1,rcp26,CESM1-CAM5,2020-2039,30.33,38.56,30.52,21.34,30.86,36.03,24.62,39.95,38.14,35.2,30.33,26.02,21.14,20.18,22.7,26.61,31.05,34.92,37.76
0,MELBOURNE-REGIONAL-OFFICE,-37.81,144.97,r1i1p1,rcp26,CESM1-CAM5,2020-2039,21.36,26.93,21.94,15.89,20.65,25.15,17.57,27.66,27.79,24.83,22.3,18.7,15.79,15.45,16.44,18.14,20.9,22.91,25.39
